result - array,result - services - array,result - services - link,result - services - protocol,result - services - type,result - services - boundingbox - area,result - services - boundingbox - upperleft - Point - coordinates,result - services - boundingbox - lowerleft - Point - coordinates,result - services - boundingbox - upperright - Point - coordinates,result - services - boundingbox - lowerright - Point - coordinates,result - publish-date - date,result - publish-date - date-type,result - id,result - uri,result - date,result - index,result - title,result - producer,result - abstract,result - entitled,result - boundingbox - area,result - boundingbox - upperleft - Point - coordinates,result - boundingbox - lowerleft - Point - coordinates,result - boundingbox - upperright - Point - coordinates,result - boundingbox - lowerright - Point - coordinates,result - collections,result - notqueryable,result - fileIdentifier,result - notdownloadable,result - thumbnail,result - holdings,result - revision-date
,TRUE,/ArcGIS/rest/services/OGDE/DRAPE2014TIFF/ImageServer,http,Image service (raster) {2014 TIFF} <uri:/NAP/DRAPE2014.xml>,9.923449599,"-78.442694,46.377574","-78.442694,43.998332","-74.271849,46.377574","-74.271849,43.998332",4/28/2014,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/OGDE/DRAPE200809TIFF/ImageServer,http,Image service (raster) {2008-2009 TIFF} <uri:/NAP/DRAPE200809.xml>,12.37513395,"-79.217555,46.326886","-79.217555,43.816921","-74.287154,46.326886","-74.287154,43.816921",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/OGDE/DRAPE200809MrSID/ImageServer,http,Image service (raster) {2008-2009 MrSID} <uri:/NAP/DRAPE200809.xml>,12.37513395,"-79.217555,46.326886","-79.217555,43.816921","-74.287154,46.326886","-74.287154,43.816921",,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2015_CMCS_NamedWaterFeaturesRegion/MapServer,http,(vector) Tiled map service,,,,,,9/1/2015,publication,2151509143,/NAP/DMTI_2015_CMCS_NamedWaterFeaturesRegion.xml,3/28/2017,71,Named Water Features Region,DMTI Spatial Inc.,"<p>This layer displays the boundaries of natural or manmade features within a water body or along a water line. Features include, but are not limited to, dams, docks, levees, boat ramps, rapids, and waterfalls. </p><p>Additional tables and supporting documentation are available in the Data Dictionary and User Manual.</p>",TRUE,3612.973903,"-140.974716,82.911139","-140.974716,42.019903","-52.619013,82.911139","-52.619013,42.019903",DMTI,0,2151509143,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_NamedWaterFeaturesRegion.png,/zips/DMTI/DMTI_2015_CMCS_NamedWaterFeaturesRegion.zip,
TRUE,TRUE,http:__maps.scholarsportal.info/files/zips/OGDE/OGDE_ALIS.zip,file,(vector),,,,,,4/1/2001,creation,2778258636,/NAP/OGDE_ALIS.xml,6/2/2014,72,Aquatic Landscape Inventory System (ALIS),Ontario Ministry of Natural Resources,"<p>Aquatic Landscape Inventory System (ALIS) was developed to automate the process for delineating, characterizing and classifying of valley segments within Great Lakes Basin watersheds. ALIS delineates streams based on a number of different natural features. This application has been applied on the Ontario side of the Great Lakes to identify continuous valley segments and has been used to attribute landscape attributes for sites where fish and habitat data are available.</p><p>The ALIS database is made up of two components: an application and a data component. The GIS application will offer users a tool to extract data, summarize and report results and classify, categorize, etc. the data collected through ALIS. The second component is strictly a Microsoft Access 2002 database containing the data. The GIS application component links to the data component, this allows for central control over the master attribute data. In order to run ALIS, the user must be running a licensed version of ArcGIS 8.1. or later. In addition, the user will also need a copy of Microsoft Access 2002 to store the data. Once the data has been collected, users with a copy of Microsoft Access 2000 will be able to work with the attribute data stored in the ALIS database independent of the GIS application.</p>",TRUE,316.442521,"-95.15699,56.85012","-95.15699,41.67230","-74.30798,56.85012","-74.30798,41.67230",OGDE,0,2778258636,0,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ALIS.png,,4/1/2003
,,,,,,,,,,4/1/2003,revision,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2015_CMCS_WindOperatedStructuresPoint/MapServer,http,(vector) Tiled map service,,,,,,9/1/2015,publication,371054416,/NAP/DMTI_2015_CMCS_WindOperatedStructuresPoint.xml,4/7/2017,73,Wind Operated Structures Point,DMTI Spatial Inc.,<p>This layer indicates the location of wind turbines and other structures used to generate power from wind.</p><p> Additional tables and supporting documentation are available in the Data Dictionary and User Manual.</p>,TRUE,1042.058217,"-123.278174,58.765351","-123.278174,42.167758","-60.494479,58.765351","-60.494479,42.167758",DMTI,0,371054416,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_WindOperatedStructuresPoint.png,/zips/DMTI/DMTI_2015_CMCS_WindOperatedStructuresPoint.zip,
TRUE,TRUE,/ArcGIS/rest/services/Western/Western_CityOfLondon_2016_RaceTracks/MapServer,http,Tiled map service (vector) {2016}<uri:/NAP/Western_CityOfLondon_2016_RaceTracks.xml>,0.049596051,"-81.371348,43.048085","-81.371348,42.838412","-81.134808,43.048085","-81.134808,42.838412",4/1/2001,creation,567718560,/NAP/Western_CityOfLondon_racetracklin.xml,5/19/2016,74,London Racetracks,City of London,"<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of racetracks in the City of London, Ontario.</p>",TRUE,0.049596051,"-81.371348,43.048085","-81.371348,42.838412","-81.134808,43.048085","-81.134808,42.838412",Western,0,567718560,0,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_racetracklin.png,,12/23/2016
,TRUE,/ArcGIS/rest/services/Western/Western_CityOfLondon_2015_racetracklin/MapServer,http,Tiled map service (vector) {2015}<uri:/NAP/Western_CityOfLondon_2015_racetracklin.xml>,0.049596051,"-81.371348,43.048085","-81.371348,42.838412","-81.134808,43.048085","-81.134808,42.838412",12/23/2016,revision,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/Western/Western_CityOfLondon_2014_Racetracklin/MapServer,http,Tiled map service (vector) {2014}<uri:/NAP/Western_CityOfLondon_2014_Racetracklin.xml>,0.049596051,"-81.371348,43.048085","-81.371348,42.838412","-81.134808,43.048085","-81.134808,42.838412",,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/OGDE/FRI200710BlockETIFF/ImageServer,http,Image service {tiff} (raster),,,,,,6/1/2006,creation,2781829993,/NAP/FRI200710BlockETIFF.xml,1/23/2015,75,"Forest Resource Inventory (FRI), Digital Aerial Imagery (Block E)",Ontario Ministry of Natural Resources,"<p>This image service (FRI 2007 Block E TIFF) crosses 18 Forest Management Units (FMUs) within the FRI Status index file:</p> <p>Algoma Forest, Sudbury Forest, Northshore Forest, Spanish Forest, Moose Cree Forest, Temagami Forest, Constance Lake Forest, Abitibi River Forest, Heart Forest, Gordon Cosens Forest, Martel Forest, Magpie Forest, Timiskaming Forest, Lakehead Forest, Romeo Malette Forest, Pineland Forest, Nipissing Forest, and French-Severn Forest. Covering the North Bay and Sudbury areas, as well as regions surrounding Timmins, and Thunder Bay.</p><p>The Forest Resource Inventory (FRI) is an extensive survey of the forest resources of Ontario. It was originally designed in 1946 to locate merchantable timber species for supplying mills.</p> <p> The FRI was designed as a large-scale survey that would allow general characterization of the forest in terms of species, forest conditions and regeneration. Traditionally, the FRI has been based on aerial photo interpretation, as well as some field surveys.</p> <p> This imagery will initially serve as a topographic reference base for any new output mapping and will serve as the source for subsequent base data production. The stereoscopic imagery will be used for softcopy photogrammetric application and interpretation. Imagery must be available but not restricted to multi-band colour, multi-band infrared and panchromatic.</p><p>The elevation data is required to support the generation of Digital Elevation Models (DEM) or Digital Surface Models (DSM) and subsequent derivative products in support of air photo interpretation, forest management planning and forest management operations. </p>",TRUE,50.35630713,"-89.489102,50.550884","-89.489102,45.548194","-79.423256,50.550884","-79.423256,45.548194",OGDE,0,2781829993,0,http://images.scholarsportal.info/gis/thumbnails/OGDE/FRI200710BlockETIFF.png,,9/15/2010
,,,,,,,,,,9/15/2010,revision,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_car/MapServer,http,(vector) Tiled map service {Census Agricultural Regions}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_car.xml>,1806.568952,"-139.052201,62.582865","-139.052201,41.681435","-52.619409,62.582865","-52.619409,41.681435",5/1/2007,publication,3607218365,/NAP/DLI_2006_Census_DBF_Eng.xml,4/1/2016,76,"Digital Boundary Files (DBF), 2006 Census",Statistics Canada,"<p>This data series contains all the Digital Boundary Files (DBF) produced by Statistics Canada for the 2006 census. This includes the following datasets:</p> <ul> <li>Census Agricultural Regions</li> <li>Census Consolidated Subdivisions</li> <li>Census Divisions</li> <li>Census Metropolitan Areas & Census Agglomerations</li> <li>Census Subdivisions</li> <li>Census Tracts</li> <li>Designated Places</li> <li>Dissemination Areas</li> <li>Dissemination Blocks</li> <li>Economic Regions</li> <li>Federal Electoral Districts, 2003 Representation Order</li> <li>Forward Sortation Areas</li> <li>Provinces & Territories</li> <li>Urban Areas</li> </ul>Hydrography and other reference files and documentation are available for download from Scholars GeoPortal. </p>",TRUE,3659.76,"-141.0,83.1","-141.0,41.7","-52.6,83.1","-52.6,41.7",DLI,0,3607218365,0,http://images.scholarsportal.info/gis/thumbnails/DLI/DLI_2006_Census_DBF_Eng_Nat_cd.png,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_ccs/MapServer,http,(vector) Tiled map service {Census Consolidated Subdivisions}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_ccs.xml>,3659.76,"-141.0,83.1","-141.0,41.7","-52.6,83.1","-52.6,41.7",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_cd/MapServer,http,(vector) Tiled map service{Census Divisions}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_cd.xml>,3666.419436,"-141.018073,83.135503","-141.018073,41.676949","-52.582296,83.135503","-52.582296,41.676949",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_cma/MapServer,http,(vector) Tiled map service{Census Metropolitan Areas & Census Agglomerations}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_cma.xml>,1740.214545,"-136.025764,62.541256","-136.025764,41.676964","-52.619409,62.541256","-52.619409,41.676964",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_csd/MapServer,http,(vector) Tiled map service{Census Subdivisions}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_csd.xml>,3666.419436,"-141.018073,83.135503","-141.018073,41.676949","-52.582296,83.135503","-52.582296,41.676949",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_ct/MapServer,http,(vector) Tiled map service{Census Tracts}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_ct.xml>,916.9977737,"-124.699055,54.552589","-124.699055,41.830582","-52.619408,54.552589","-52.619408,41.830582",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_da/MapServer,http,(vector) Tiled map service{Dissemination Areas}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_da.xml>,3666.419436,"-141.018073,83.135503","-141.018073,41.676949","-52.582296,83.135503","-52.582296,41.676949",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_db/MapServer,http,(vector) Tiled map service{Dissemination Blocks}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_db.xml>,3666.419436,"-141.018073,83.135503","-141.018073,41.676949","-52.582296,83.135503","-52.582296,41.676949",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_dpl/MapServer,http,(vector) Tiled map service{Designated Places}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_dpl.xml>,1658.287014,"-136.304291,62.111417","-136.304291,42.250209","-52.810527,62.111417","-52.810527,42.250209",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_er/MapServer,http,(vector) Tiled map service{Economic Regions}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_er.xml>,3666.419436,"-141.018073,83.135503","-141.018073,41.676949","-52.582296,83.135503","-52.582296,41.676949",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_fed/MapServer,http,"(vector) Tiled map service{Federal Electoral Districts, 2003 Representation Order}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_fed.xml>",3666.419436,"-141.018073,83.135503","-141.018073,41.676949","-52.582296,83.135503","-52.582296,41.676949",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_fsa/MapServer,http,(vector) Tiled map services{Forward Sortation Areas}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_fsa.xml>,3666.419436,"-141.018073,83.135503","-141.018073,41.676949","-52.582296,83.135503","-52.582296,41.676949",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_pr/MapServer,http,(vector) Tiled map service{Provinces & Territories}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_pr.xml>,3666.419436,"-141.018073,83.135503","-141.018073,41.676949","-52.582296,83.135503","-52.582296,41.676949",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DLI/DLI_2006_Census_DBF_Eng_Nat_ua/MapServer,http,(vector) Tiled map service{Urban Areas}<uri:/NAP/DLI_2006_Census_DBF_Eng_Nat_ua.xml>,2255.155805,"-135.223745,69.121012","-135.223745,41.808919","-52.653881,69.121012","-52.653881,41.808919",,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/OGDE/OGDE_MOH_FHTSL/MapServer,http,Tiled map service (vector),,,,,,12/30/2011,creation,2893927563,/NAP/OGDE_MOH_FHTSL.xml,1/28/2013,77,Family Health Teams Site Locations,Ontario Ministry of Health and Long-Term Care,"<p>This data set provides address locations of Family Health Team Sites, as provided by the Association of Family Health Teams of Ontario (AFHTO). Family Health Team Sites make up the location(s) for a Family Health Team for a given area, or community. </p><p>Family Health Teams ensure that people receive the care they need in their communities, as each team is set-up based on local health and community needs. Family Health Teams provide a core set of comprehensive primary health care services to their patients. Patients can be enrolled either to an individual family physician or to groups of physicians. They focus on chronic disease management, disease prevention and health promotion, and work with other health care organizations, such as public health units and Community Care Access Centres.</p>",TRUE,178.7910454,"-94.502316,51.016731","-94.502316,42.029328","-74.608800,51.016731","-74.608800,42.029328",OGDE,0,2893927563,0,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_MOH_FHTSL.png,/zips/OGDE/OGDE_MOH_FHTSL.zip,
TRUE,TRUE,/ArcGIS/rest/services/OGDE/OGDE_ORNSEGAD/MapServer,http,Tiled map service (vector),,,,,,1/1/2010,creation,3872254028,/NAP/OGDE_ORNSEGAD.xml,2/15/2013,78,Ontario Road Network Segment With Address (ORN),Ontario Ministry of Natural Resources,"<p> Revision Note: Please note that this dataset has been revised and is available from the Land Information Ontario (LIO) Warehouse.</p> <p>The Ontario Road Network (ORN) is a province-wide geographic database of over 250,000 kilometers of municipal roads, provincial highways, and resource and recreation roads. The ORN is considered the authoritative source of roads data for Ontario.</p><p>The ORN Segment with Address is derived from the Linear Referencing System (LRS) data set and provides attributes such as: official street names, alternate street names, route names and numbers, street address ranges, road class, direction and municipality. A segmented dataset is comprised of distinct road segments based on attribution associated with each segment. </p> <p>A road segment is the linear geometry of the road. Road segments can be consolidated into networks using the MNR Road Network entity. To exist in the Road Segment layer the road must have actually existed as a path supporting conventional four-wheel street legal vehicles.</p><p>Supplementary tables can be used and are available for download from the additional documentation section. Supplementary look-up table descriptions are available in the data description document, which is available for download from the additional documentation section.</p>",TRUE,299.7905922,"-95.153607,56.082813","-95.153607,41.676556","-74.343858,56.082813","-74.343858,41.676556",OGDE,0,3872254028,0,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ORNSEGAD.png,/zips/OGDE/OGDE_ORNSEGAD.zip,3/22/2012
,,,,,,,,,,3/22/2012,revision,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/OGDE/OGDE_SIGECOL/MapServer,http,Tiled map service (vector),,,,,,11/6/1997,creation,2546439713,/NAP/OGDE_SIGECOL.xml,9/16/2013,79,Significant Ecological Area,Ontario Ministry of Natural Resources,"<p>This data set can be used to identify a significant ecological area, which is a polygon features that identifies an area of interest to the Ministry that is ecologically significant, and warrants special consideration, excluding ANSI's, parks, reserves, or ESA's. Different significant ecological area types collected by the Natural Resources Values Information System (NRVIS) include:</p><li>Significant Valley</li><li>Significant Woodland</li><li>No-Cut Area</li><li>Designated Old Growth Forest</li><li>Old Growth Forest</li><li>Significant Ecological Community</li><p>Supplementary tables can be used and are available for download from the additional documentation section. Supplementary look-up table descriptions are available in the data description document, which is available for download from the additional documentation section.</p>",TRUE,119.902147,"-94.681164,50.664160","-94.681164,44.122552","-76.352009,50.664160","-76.352009,44.122552",OGDE,0,2546439713,0,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_SIGECOL.png,/zips/OGDE/OGDE_SIGECOL.zip,6/10/2009
,,,,,,,,,,6/10/2009,revision,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/OGDE/OGDE_OHN_SLIN/MapServer,http,Tiled map service (vector),,,,,,8/12/2010,creation,1828421580,/NAP/OGDE_OHN_SLIN.xml,11/8/2011,80,Ontario Hydro Network (OHN) - Shoreline,Ontario Ministry of Natural Resources,<p> Revision Note: Please note that this dataset has been revised and is available from the Land Information Ontario (LIO) Warehouse. </p> <p>The derived line between water and land. This class is derived from waterbody and used for cartographic purposes and web mapping services.</p><p> Supplementary look-up data tables are used and are referenced in the additional documentation - SNIF report.</p>,TRUE,353.5302954,"-97.391302,57.000007","-97.391302,41.676556","-74.320109,57.000007","-74.320109,41.676556",OGDE,0,1828421580,0,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_OHN_SLIN.png,/zips/OGDE/OGDE_OHN_SLIN.zip,8/12/2010
,,,,,,,,,,8/12/2010,revision,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/OpenContent/OpenContent_CCRI_1911_CD_Canada/MapServer,http,Tiled map service (vector){Census Divisions}<uri:/NAP/OpenContent_CCRI_1911_CD_Canada.xml>,7493.401372,"-173.461347,83.774123","-173.461347,36.912965","-13.554898,83.774123","-13.554898,36.912965",2/18/2011,creation,1883595374,/NAP/OpenContent_CCRI_1911_Canada_series.xml,5/5/2016,81,"Boundary Files, 1911 Census of Canada",Canadian Century Research Infrastructure,"<p>This data set reconstructs the census compilation and dissemination geography of the 1911 Canadian Census at the census division (CD) and census subdivision (CSD) level of geography.</p><p>The shapefiles (.shp) were derived from a comprehensive geodatabase, as part of the Canadian Century Research Infrastructure (CCRI). Detailed water polygons were replaced with a selection of major lakes in this version, indicated with the abbreviation MW in the file name, which stands for ‘major water’. These data are a part of a geographical framework constructed to enable the location, selection, aggregation, and analysis of census data, for census enumerations between 1911 and 1951.</p>",TRUE,7493.401372,"-173.461347,83.774123","-173.461347,36.912965","-13.554898,83.774123","-13.554898,36.912965",OpenContent,0,1883595374,0,http://images.scholarsportal.info/gis/thumbnails/OpenContent/OpenContent_CCRI_1911_CD_Canada.png,,
,TRUE,/ArcGIS/rest/services/OpenContent/OpenContent_CCRI_1911_CSD_Canada/MapServer,http,Tiled map service (vector){Census Subdivisions}<uri:/NAP/OpenContent_CCRI_1911_CSD_Canada.xml>,7493.401372,"-173.461347,83.774123","-173.461347,36.912965","-13.554898,83.774123","-13.554898,36.912965",5/1/2013,publication,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2015_CMCS_WaterLine/MapServer,http,(vector) Tiled map service,,,,,,9/1/2015,publication,1118344789,/NAP/DMTI_2015_CMCS_WaterLine.xml,4/7/2017,82,Water Line,DMTI Spatial Inc.,"<p>This layer includes linear features describing the path of water flow on the earth's surface. It consists of rivers, streams, brooks and creeks and navigable canals. </p><p> Additional tables and supporting documentation are available in the Data Dictionary and User Manual.</p>",TRUE,3665.259149,"-141.001834,83.1","-141.001834,41.681320","-52.508933,83.1","-52.508933,41.681320",DMTI,0,1118344789,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_WaterLine.png,"/zips/DMTI/DMTI_2015_CMCS_WaterLine_AB_BC_MB_NB_NL_NS_ON_PE_QC_SK.zip, /zips/DMTI/DMTI_2015_CMCS_WaterLine_NT_NU_YT.zip",
TRUE,TRUE,/ArcGIS/rest/services/OGDE/OGDE_NOEGTS_Point/MapServer,http,Tiled map service (vector),,,,,,6/6/2005,creation,2372718054,/NAP/OGDE_NOEGTS_Point.xml,5/13/2013,83,Digital Northern Ontario Engineering Geology Terrain Study (NOEGTS) - Points,Ontario Ministry of Northern Development and Mines,"<p>The NOEGTS (Northern Ontario Engineering Geology Terrain Study) data set is a digital version of the 103 original cartographic NOEGTS maps. An engineering geology terrain study is an evaluation of near-surface geological conditions for the purpose of determining the engineering significance of the terrain. In this context, terrain refers to the physical aspect and characteristics of an area or landscape under observation.</p><p> The main investigative techniques used to gather the information for such a study are air photo interpretation combined with literature searches and limited field work. A total of 370 000 km2 of northern Ontario was mapped between 1977 and 1980. With conversion to a digital format, additional geological interpretation was completed on many of the maps to improve the data set. In addition, standard legends and symbology were designed so as to provide an improved cartographic product. </p><p>Base layer information includes lakes, townships, a shaded relief image and roads. Additional information and metadata are found within a readme file provided with the product.</p><p>Supplementary data can be used and are available for download from the additional documentation section.</p>",TRUE,88.17199409,"-95.091885,50.986870","-95.091885,46.009160","-77.378520,50.986870","-77.378520,46.009160",OGDE,0,2372718054,0,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_NOEGTS_Point.png,/zips/OGDE/OGDE_NOEGTS_Point.zip,6/6/2005
,,,,,,,,,,6/6/2005,revision,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/CityOfMississauga/CityOfMississauga_2016_POOL/MapServer,http,(vector) Tiled map service,,,,,,10/18/2016,publication,4222759221,/NAP/CityOfMississauga_2016_POOL.xml,9/20/2016,84,Mississauga Outdoor Pools,"Transportation and Works Department, City of Mississauga","<p>The 2016 City of Mississauga digital mapping data contains very detailed topographic and planning information clipped to the City of Mississauga municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the the edges of all the outdoor pools in the City of Mississauga Ontario. </p>",TRUE,0.064051231,"-79.795366,43.736702","-79.795366,43.480453","-79.545409,43.736702","-79.545409,43.480453",CityOfMississauga,0,4222759221,0,http://images.scholarsportal.info/gis/thumbnails/CityOfMississauga/CityOfMississauga_2016_POOL.png,/zips/CityOfMississauga/CityOfMississauga_2016_POOL.zip,
TRUE,TRUE,/ArcGIS/rest/services/Western/Western_CityOfLondon_2016_UtilityPoles/MapServer,http,Tiled map service (vector){2016}<uri:/NAP/Western_CityOfLondon_2016_UtilityPoles.xml>,0.067771662,"-81.388563,43.067084","-81.388563,42.825584","-81.107935,43.067084","-81.107935,42.825584",4/1/2001,creation,1539983289,/NAP/Western_CityOfLondon_utilpt.xml,5/19/2016,85,London Utility Poles,City of London,"<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of utility poles in the City of London, Ontario.</p>",TRUE,0.067771662,"-81.388563,43.067084","-81.388563,42.825584","-81.107935,43.067084","-81.107935,42.825584",Western,0,1539983289,0,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_utilpt.png,,12/23/2016
,TRUE,/ArcGIS/rest/services/Western/Western_CityOfLondon_2015_utilpt/MapServer,http,Tiled map service (vector){2015}<uri:/NAP/Western_CityOfLondon_2015_utilpt.xml>,0.067771662,"-81.388563,43.067084","-81.388563,42.825584","-81.107935,43.067084","-81.107935,42.825584",12/23/2016,revision,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/Western/Western_CityOfLondon_2014_UtilPt/MapServer,http,Tiled map service (vector){2014}<uri:/NAP/Western_CityOfLondon_2014_UtilPt.xml>,0.067771662,"-81.388563,43.067084","-81.388563,42.825584","-81.107935,43.067084","-81.107935,42.825584",,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/ESRI/ESRI_v9_3_Data_World_TimeZones/MapServer,http,Tiled Map Service (vector),,,,,,2/18/2002,creation,2157855201,/NAP/ESRI_v9_3_Data_World_TimeZones.xml,7/11/2013,86,World Time Zones,ESRI,<p>World Time Zones represents the time zones of the world. The time zones are best displayed with World Countries or World Administrative Units but can be displayed with any feature dataset. World Time Zones commonly provides time zones for the countries and cities of the world. Note that daylight saving time is not shown.</p><p>This layer has polylines that extend to 90 degrees Latitude North but are only shown to a maximum of 85 degrees Latitude North. Please download entire dataset if the whole dataset is required.</p>,TRUE,64800,"-180,90","-180,-90","180,90","180,-90",ESRI,0,2157855201,0,http://images.scholarsportal.info/gis/thumbnails/ESRI/ESRI_v9_3_Data_World_TimeZones.png,/zips/ESRI/ESRI_v9_3_Data_World_TimeZones.zip,
,,,,,,,,,,4/1/2008,publication,,,,,,,,,,,,,,,,,,,,
