Nid,Title,Year,Author,Format,Who can use this data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,To Delete,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id,layer_thumb
,Mississauga Watersheds,2016 - 2016,"Transportation and Works Department, City of Mississauga",Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=590665314,,,,http://geo.scholarsportal.info/#r/details/_uri@=590665314,,,,,,,,,590665314,http://images.scholarsportal.info/gis/thumbnails/CityOfMississauga/CityOfMississauga_2016_Watershed.png
,Surficial Geology of Southern Ontario - Line Representation,2010 - 2010,"Ontario Ministry of Northern Development, Mines and Forestry",Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=607086861,,,,http://geo.scholarsportal.info/#r/details/_uri@=607086861,,,,,,,,,607086861,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_SGU_2010_LINE.png
,Wind Power Allocation Block,2004 - 2004,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1268411076,,,,http://geo.scholarsportal.info/#r/details/_uri@=1268411076,,,,,,,,,1268411076,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_WINDPAB.png
,"QuickBird Satellite Imagery - Source Water Protection: Multi-spectral imagery, false colour",2005 - 2007,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3694275947,,,,http://geo.scholarsportal.info/#r/details/_uri@=3694275947,,,,,,,,,3694275947,http://images.scholarsportal.info/gis/thumbnails/OGDE/QuickBird200507MSFCMrSID.png
,Transport Line,1977 - 2008,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=189450624,,,,http://geo.scholarsportal.info/#r/details/_uri@=189450624,,,,,,,,,189450624,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_TRANSLIN.png
,Land Feature Labels (LLP),2001 - 2014,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1206175236,,,,http://geo.scholarsportal.info/#r/details/_uri@=1206175236,,,,,,,,,1206175236,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapRL_Topo_LLP_ALL_PROV.png
,Oak Ridges Moraine - Subwatersheds (Points),2003 - 2003,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1509172978 lrcdtovsdvdb001.cihs.ad.gov.on.ca,,,,http://geo.scholarsportal.info/#r/details/_uri@=1509172978 lrcdtovsdvdb001.cihs.ad.gov.on.ca,,,,,,,,,1509172978 lrcdtovsdvdb001.cihs.ad.gov.on.ca,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ORM_WTRSHSUBPT.png
,Aquatic Resource Area Summary Polygon (Spatial View),2011 - 2011,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=466430361,,,,http://geo.scholarsportal.info/#r/details/_uri@=466430361,,,,,,,,,466430361,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ARAPOLY.png
,Canada/US Road Linkages (LNK),2001 - 2014,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1495077733,,,,http://geo.scholarsportal.info/#r/details/_uri@=1495077733,,,,,,,,,1495077733,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapRL_Streets_LNK_ALL_PROV.png
,Land Ownership - Replaced,1977 - 2012,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3292053266,,,,http://geo.scholarsportal.info/#r/details/_uri@=3292053266,,,,,,,,,3292053266,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_LANDOWN.png
,"Îlot de diffusion - Fichiers numériques des limites, Année de recensement 2006",2007 - 2007,Statistique Canada,Various geospatial formats available.,Open to the public.,http://geo.scholarsportal.info/#r/details/_uri@=705522010,,,,http://geo.scholarsportal.info/#r/details/_uri@=705522010,,,,,,,,,705522010,http://images.scholarsportal.info/gis/thumbnails/DLI/DLI_2006_Census_DBF_Fr_Nat_id.png
,"Watershed, Secondary",2002 - 2010,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1589523613,,,,http://geo.scholarsportal.info/#r/details/_uri@=1589523613,,,,,,,,,1589523613,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_WTRSHSEC.png
,Greater Toronto Area (GTA) Boundary,2012 - 2012,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=41643035,,,,http://geo.scholarsportal.info/#r/details/_uri@=41643035,,,,,,,,,41643035,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2012_GTA_Boundary.png
,Hospital Locations,2011 - 2011,Ontario Ministry of Health and Long-Term Care,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3570906326,,,,http://geo.scholarsportal.info/#r/details/_uri@=3570906326,,,,,,,,,3570906326,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_MOH_HOSPL.png
,Fire Weather Sector,2005 - 2005,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=44368940,,,,http://geo.scholarsportal.info/#r/details/_uri@=44368940,,,,,,,,,44368940,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_FIREWTHR.png
,Ontario Integrated Hydrology Data Package,2012 - 2012,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2108158090,,,,http://geo.scholarsportal.info/#r/details/_uri@=2108158090,,,,,,,,,2108158090,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_IH.png
,Building Footprints Region,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1437077866,,,,http://geo.scholarsportal.info/#r/details/_uri@=1437077866,,,,,,,,,1437077866,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_BuildingFootprintsRegion.png
,London Parking Lot Segments,2001 - 2015,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3300262255,,,,http://geo.scholarsportal.info/#r/details/_uri@=3300262255,,,,,,,,,3300262255,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_pkngvslin.png
,MNR Road Segment,1985 - 2007,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=4130619639,,,,http://geo.scholarsportal.info/#r/details/_uri@=4130619639,,,,,,,,,4130619639,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_MNRRDSEG.png
,Watersheds Region,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3768677210,,,,http://geo.scholarsportal.info/#r/details/_uri@=3768677210,,,,,,,,,3768677210,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_WatershedsRegion.png
,Water Structure Region,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2125629326,,,,http://geo.scholarsportal.info/#r/details/_uri@=2125629326,,,,,,,,,2125629326,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_WaterStructureRegion.png
,London Retaining Wall Segments,2001 - 2015,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1481333028,,,,http://geo.scholarsportal.info/#r/details/_uri@=1481333028,,,,,,,,,1481333028,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_retvslin.png
,"Oak Ridges Moraine - Sand Barrens, Savannahs, Tallgrass Prairies",1998 - 2002,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3985012176,,,,http://geo.scholarsportal.info/#r/details/_uri@=3985012176,,,,,,,,,3985012176,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ORM_SANDBARREN.png
,"Quickbird Satellite Imagery - AFFM: Multispectral imagery, true colour",2003 - 2008,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1714511326,,,,http://geo.scholarsportal.info/#r/details/_uri@=1714511326,,,,,,,,,1714511326,http://images.scholarsportal.info/gis/thumbnails/OGDE/QuickBirdAFFM2008RGBjp2.png
,Blocked Passage Barrier Point,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3054374755,,,,http://geo.scholarsportal.info/#r/details/_uri@=3054374755,,,,,,,,,3054374755,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_BlockedPassageBarrierPoint.png
,London Rail Segments,2001 - 2015,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2495446539,,,,http://geo.scholarsportal.info/#r/details/_uri@=2495446539,,,,,,,,,2495446539,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_rrvslin.png
,UTM 5KM Grid,2011 - 2011,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1836958320,,,,http://geo.scholarsportal.info/#r/details/_uri@=1836958320,,,,,,,,,1836958320,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_UTM5KM.png
,"Historic Ontario Road Network (ORN) Road Net Element, 2009",2009 - 2009,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2751286546,,,,http://geo.scholarsportal.info/#r/details/_uri@=2751286546,,,,,,,,,2751286546,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ORN_NetElement_2009.png
,Slope Instability Studies - Ottawa Area Data Package,1976 - 1983,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1350672035,,,,http://geo.scholarsportal.info/#r/details/_uri@=1350672035,,,,,,,,,1350672035,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_LEDA.png
,Neighbourhoods Region,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=4221801224,,,,http://geo.scholarsportal.info/#r/details/_uri@=4221801224,,,,,,,,,4221801224,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_NeighbourhoodsRegion.png
,Toll Booth Point,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2139229953,,,,http://geo.scholarsportal.info/#r/details/_uri@=2139229953,,,,,,,,,2139229953,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_TollBoothPoint.png
,Tourist Attractions Point,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=4236917146,,,,http://geo.scholarsportal.info/#r/details/_uri@=4236917146,,,,,,,,,4236917146,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_TouristAttractionsPoint.png
,Ontario Railway Network (ORWN) - Structure Line,2012 - 2012,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=750665660,,,,http://geo.scholarsportal.info/#r/details/_uri@=750665660,,,,,,,,,750665660,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ORWNSTLN.png
,London Spot Height Text,2001 - 2016,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2948481248,,,,http://geo.scholarsportal.info/#r/details/_uri@=2948481248,,,,,,,,,2948481248,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_sphttxt.png
,Wild Rice Stand,1997 - 2006,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2134400542,,,,http://geo.scholarsportal.info/#r/details/_uri@=2134400542,,,,,,,,,2134400542,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_WILDRICE.png
,Designated Gas Storage Area,1942 - 2003,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3443629061,,,,http://geo.scholarsportal.info/#r/details/_uri@=3443629061,,,,,,,,,3443629061,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_PETDGSA.png
,Shoreline Status along the Southern Georgian Bay Shoreline 2006-2008,2011 - 2011,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1491467202,,,,http://geo.scholarsportal.info/#r/details/_uri@=1491467202,,,,,,,,,1491467202,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_GeorgianBayShoreline.png
,Other Transportation - Lines (OTL),2001 - 2014,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=4130373109,,,,http://geo.scholarsportal.info/#r/details/_uri@=4130373109,,,,,,,,,4130373109,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapRL_Topo_OTL_ALL_PROV.png
,Tower Point,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3627557359,,,,http://geo.scholarsportal.info/#r/details/_uri@=3627557359,,,,,,,,,3627557359,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_TowerPoint.png
,Mineral Deposit Inventory (2010 version),2010 - 2013,"Ontario Ministry of Northern Development, Mines and Forestry",Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=860713284,,,,http://geo.scholarsportal.info/#r/details/_uri@=860713284,,,,,,,,,860713284,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_MINDEP.png
,NGO Nature Reserve,1998 - 2009,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2219611138,,,,http://geo.scholarsportal.info/#r/details/_uri@=2219611138,,,,,,,,,2219611138,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_NGONATRV.png
,Municipal at 1 Million,1983 - 1983,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2164807718,,,,http://geo.scholarsportal.info/#r/details/_uri@=2164807718,,,,,,,,,2164807718,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_1MMUNIPL.png
,Fish Pathogen Management Zone,2008 - 2012,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=4223554002,,,,http://geo.scholarsportal.info/#r/details/_uri@=4223554002,,,,,,,,,4223554002,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_FPMGMTZN.png
,"Boundary Files, 1941 Census of Canada",2011 - 2013,Canadian Century Research Infrastructure,Various geospatial formats available.,Open to the public.,http://geo.scholarsportal.info/#r/details/_uri@=2815990161,,,,http://geo.scholarsportal.info/#r/details/_uri@=2815990161,,,,,,,,,2815990161,http://images.scholarsportal.info/gis/thumbnails/OpenContent/OpenContent_CCRI_1941_CD_Canada.png
,Mississauga Civic Numbers,2016 - 2016,"Transportation and Works Department, City of Mississauga",Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=960909147,,,,http://geo.scholarsportal.info/#r/details/_uri@=960909147,,,,,,,,,960909147,
,Water Transport Region,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3190085184,,,,http://geo.scholarsportal.info/#r/details/_uri@=3190085184,,,,,,,,,3190085184,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_WaterTransportRegion.png
,Province,2003 - 2008,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=4046963233,,,,http://geo.scholarsportal.info/#r/details/_uri@=4046963233,,,,,,,,,4046963233,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_PROVINCE.png
,"Historic Ontario Road Network (ORN) Segment Address, 2007",2007 - 2007,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1209971374,,,,http://geo.scholarsportal.info/#r/details/_uri@=1209971374,,,,,,,,,1209971374,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ORN_SegmentAddress_2007.png
,Forest Abiotic Damage Event,1998 - 2009,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2445296710,,,,http://geo.scholarsportal.info/#r/details/_uri@=2445296710,,,,,,,,,2445296710,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ABIOTDAM.png
,Water Feature Labels (WLP),2001 - 2014,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=242494273,,,,http://geo.scholarsportal.info/#r/details/_uri@=242494273,,,,,,,,,242494273,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapRL_Topo_WLP_ALL_PROV.png
,"Bedrock Geology of Ontario, Kimberlite and Lamprophyre - 1: 250 000",2003 - 2003,Ontario Ministry of Northern Development and Mines,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1157109999,,,,http://geo.scholarsportal.info/#r/details/_uri@=1157109999,,,,,,,,,1157109999,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_BedrockGeologyOfOntario250K_Kimberlite.png
,Habitat Planning Range,1998 - 2008,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2193683407,,,,http://geo.scholarsportal.info/#r/details/_uri@=2193683407,,,,,,,,,2193683407,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_HPLANRNG.png
,Broad Scale Monitoring Lakes Fisheries Management Zone 5 (FMZ5) - Lake Trout,2010 - 2010,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3745133778,,,,http://geo.scholarsportal.info/#r/details/_uri@=3745133778,,,,,,,,,3745133778,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_BSM_FMZ5_LakeTrout.png
,Highways (HWY),2001 - 2014,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1612505540,,,,http://geo.scholarsportal.info/#r/details/_uri@=1612505540,,,,,,,,,1612505540,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapRL_Streets_HWY_ALL_PROV.png
,London Overhead Walkways,2001 - 2016,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2735950665,,,,http://geo.scholarsportal.info/#r/details/_uri@=2735950665,,,,,,,,,2735950665,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_ovwklin.png
,Hydrography - Regions (HYR),2001 - 2014,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=327351891,,,,http://geo.scholarsportal.info/#r/details/_uri@=327351891,,,,,,,,,327351891,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapRL_Topo_HYR_ALL_PROV.png
,Television Stations Point,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=4139587801,,,,http://geo.scholarsportal.info/#r/details/_uri@=4139587801,,,,,,,,,4139587801,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_TelevisionStationsPoint.png
,London Industrial or Electrical Substation Complexes,2001 - 2016,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1731625082,,,,http://geo.scholarsportal.info/#r/details/_uri@=1731625082,,,,,,,,,1731625082,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_electsubpt.png
,Federal Land Other,2011 - 2011,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2707515643,,,,http://geo.scholarsportal.info/#r/details/_uri@=2707515643,,,,,,,,,2707515643,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_FEDLNDO.png
,London Electrical Towers,2001 - 2016,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3255497634,,,,http://geo.scholarsportal.info/#r/details/_uri@=3255497634,,,,,,,,,3255497634,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_ptowerpnt.png
,London Unknown Parking Lot Centroids,2001 - 2015,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3455011293,,,,http://geo.scholarsportal.info/#r/details/_uri@=3455011293,,,,,,,,,3455011293,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_pkngunknownpt.png
,London Docks,2001 - 2016,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3472898377,,,,http://geo.scholarsportal.info/#r/details/_uri@=3472898377,,,,,,,,,3472898377,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_docklin.png
,Digital Elevation Model (DEM) - Provincial Tiled Dataset,2006 - 2015,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=658779033,,,,http://geo.scholarsportal.info/#r/details/_uri@=658779033,,,,,,,,,658779033,http://images.scholarsportal.info/gis/thumbnails/OGDE/DEM2006flt.png
,Mississauga Relief 3D Contours,2016 - 2016,"Transportation and Works Department, City of Mississauga",Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3596078252,,,,http://geo.scholarsportal.info/#r/details/_uri@=3596078252,,,,,,,,,3596078252,
,Tank Region,2015 - 2015,DMTI Spatial Inc.,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=3805273504,,,,http://geo.scholarsportal.info/#r/details/_uri@=3805273504,,,,,,,,,3805273504,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2015_CMCS_TankRegion.png
,London Structures (Lines),2001 - 2015,City of London,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=2616529144,,,,http://geo.scholarsportal.info/#r/details/_uri@=2616529144,,,,,,,,,2616529144,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_strctlin.png
,Natural Heritage System Area,1985 - 2006,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=4119566927,,,,http://geo.scholarsportal.info/#r/details/_uri@=4119566927,,,,,,,,,4119566927,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_NHSAREA.png
,Aquatic Resource Area Summary,2009 - 2011,Ontario Ministry of Natural Resources,Various geospatial formats available.,"Available to McMaster Staff, Faculty, and Students. Login required for off-campus access.",http://geo.scholarsportal.info/#r/details/_uri@=1501913295,,,,http://geo.scholarsportal.info/#r/details/_uri@=1501913295,,,,,,,,,1501913295,http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_ARASUMRY.png
